%#Format: frequency (Hz)  ratio (dB)  phase (deg)
     447.353     -219.208      91.7987
     451.497     -219.124      93.0856
     455.679     -219.035      94.3639
     459.899     -218.941       95.633
     464.159     -218.843      96.8929
     468.458     -218.741      98.1425
     472.797     -218.635      99.3812
     477.176     -218.525      100.609
     481.596     -218.412      101.825
     486.056     -218.294      103.031
     490.558     -218.174      104.226
     495.102      -218.05       105.41
     499.688     -217.922      106.583
     504.316     -217.792      107.744
     508.987     -217.658      108.894
     513.701     -217.522      110.032
     518.459     -217.383      111.159
     523.261      -217.24      112.274
     528.108     -217.096      113.379
     532.999     -216.949      114.475
     537.936     -216.799      115.562
     542.919     -216.646      116.641
     547.947     -216.491      117.713
     553.022     -216.332       118.78
     558.145     -216.171       119.84
     563.314     -216.007      120.895
     568.532     -215.839      121.947
     573.798     -215.668      122.998
     579.112     -215.494      124.048
     584.476     -215.315      125.101
      589.89     -215.132       126.16
     595.353     -214.943       127.23
     600.868     -214.748      128.312
     606.433     -214.545      129.412
      612.05     -214.333      130.538
     617.719     -214.108      131.697
      623.44     -213.868      132.899
     629.215     -213.606      134.156
     635.043     -213.315      135.482
     640.924     -212.982      136.892
     646.861     -212.583      138.389
     652.852     -212.078       139.94
     658.899     -211.393      141.352
     665.002     -210.395      141.815
     671.161     -208.987      138.395
     677.378     -207.789      125.628
     683.652     -210.269      120.742
     689.984     -210.061      121.379
     696.374     -207.285      122.249
     702.824     -210.163      101.858
     709.334     -212.318      105.066
     715.904     -213.149      113.212
     722.535     -213.254      119.627
     729.227     -213.123      124.107
     735.981     -212.924      127.344
     742.798     -212.709      129.817
     749.678     -212.493      131.802
     756.622     -212.284      133.461
      763.63      -212.08      134.892
     770.703     -211.883      136.156
     777.841     -211.691      137.296
     785.046     -211.504      138.338
     792.317     -211.321      139.303
     799.655     -211.142      140.207
     807.062     -210.966      141.059
     814.537     -210.793      141.867
     822.082     -210.623      142.639
     829.696     -210.455      143.381
     837.381     -210.289      144.095
     845.137     -210.125      144.784
     852.964     -209.962      145.452
     860.865     -209.801      146.101
     868.838     -209.642      146.733
     876.886     -209.484      147.348
     885.008     -209.327      147.949
     893.205     -209.172      148.536
     901.478     -209.018      149.111
     909.827     -208.865      149.675
     918.254     -208.713      150.228
     926.759     -208.563      150.771
     935.343     -208.413      151.306
     944.006     -208.265      151.832
      952.75     -208.118      152.351
     961.575     -207.972      152.862
     970.481     -207.827      153.367
      979.47     -207.683      153.864
     988.542      -207.54      154.355
     997.698     -207.397      154.839
     1006.94     -207.257      155.318
     1016.27     -207.117      155.791
     1025.68     -206.978      156.259
     1035.18      -206.84      156.722
     1044.77     -206.704      157.182
     1054.44     -206.568      157.637
     1064.21     -206.434      158.089
     1074.07       -206.3      158.536
     1084.01     -206.168       158.98
     1094.05     -206.037      159.421
     1104.19     -205.907      159.858
     1114.42     -205.778      160.293
     1124.74      -205.65      160.725
     1135.15     -205.523      161.155
     1145.67     -205.398      161.582
     1156.28     -205.274      162.008
     1166.99     -205.151      162.432
      1177.8     -205.029      162.854
     1188.71     -204.909      163.275
     1199.72     -204.789      163.695
     1210.83     -204.671      164.113
     1222.04     -204.555      164.531
     1233.36     -204.439      164.948
     1244.79     -204.325      165.365
     1256.32     -204.213      165.782
     1267.95     -204.101      166.199
      1279.7     -203.992      166.616
     1291.55     -203.883      167.034
     1303.51     -203.776      167.452
     1315.59     -203.671      167.871
     1327.77     -203.567       168.29
     1340.07     -203.465      168.712
     1352.48     -203.364      169.135
     1365.01     -203.265       169.56
     1377.65     -203.167      169.987
     1390.41     -203.072      170.417
     1403.29     -202.978      170.849
     1416.29     -202.885      171.285
      1429.4     -202.795      171.723
     1442.64     -202.706      172.165
     1456.01     -202.619      172.611
     1469.49     -202.534      173.062
      1483.1      -202.45      173.516
     1496.84     -202.369      173.975
      1510.7     -202.289      174.439
      1524.7     -202.212      174.909
     1538.82     -202.137      175.384
     1553.07     -202.064      175.866
     1567.46     -201.993      176.354
     1581.97     -201.924       176.85
     1596.63     -201.857      177.353
     1611.41     -201.793      177.864
     1626.34     -201.731      178.384
      1641.4     -201.671      178.913
     1656.61     -201.614      179.451
     1671.95     -201.559         -180
     1687.44     -201.506      -179.44
     1703.06     -201.456     -178.869
     1718.84     -201.409     -178.285
     1734.76     -201.364     -177.689
     1750.83     -201.322     -177.078
     1767.04     -201.282     -176.454
     1783.41     -201.245     -175.814
     1799.93     -201.211     -175.157
      1816.6      -201.18     -174.484
     1833.43     -201.151     -173.792
     1850.41     -201.125     -173.081
     1867.55     -201.102     -172.351
     1884.84     -201.082     -171.598
      1902.3     -201.065     -170.824
     1919.92     -201.051     -170.025
      1937.7     -201.039     -169.201
     1955.65     -201.031      -168.35
     1973.76     -201.025     -167.472
     1992.05     -201.022     -166.564
      2010.5     -201.021     -165.625
     2029.12     -201.023     -164.652
     2047.91     -201.028     -163.645
     2066.88     -201.035     -162.602
     2086.02     -201.044      -161.52
     2105.35     -201.056     -160.399
     2124.85      -201.07     -159.235
     2144.53     -201.085     -158.027
     2164.39     -201.102     -156.774
     2184.44      -201.12     -155.472
     2204.67     -201.139      -154.12
     2225.09     -201.159     -152.717
      2245.7     -201.178      -151.26
      2266.5     -201.198     -149.747
     2287.49     -201.216     -148.178
     2308.68     -201.233     -146.551
     2330.06     -201.248     -144.865
     2351.64     -201.261      -143.12
     2373.42      -201.27     -141.316
     2395.41     -201.274     -139.454
     2417.59     -201.274     -137.533
     2439.99     -201.269     -135.557
     2462.59     -201.257     -133.527
      2485.4     -201.238     -131.446
     2508.42     -201.211     -129.318
     2531.65     -201.176     -127.147
      2555.1     -201.132     -124.939
     2578.76     -201.078     -122.699
     2602.65     -201.014     -120.434
     2626.75      -200.94     -118.151
     2651.08     -200.855     -115.857
     2675.64      -200.76      -113.56
     2700.42     -200.655     -111.267
     2725.43     -200.539     -108.986
     2750.68     -200.414     -106.724
     2776.15      -200.28     -104.489
     2801.87     -200.138     -102.286
     2827.82     -199.988     -100.121
     2854.01     -199.832     -97.9993
     2880.44     -199.671      -95.924
     2907.12     -199.506     -93.8998
     2934.05     -199.337     -91.9282
     2961.23     -199.166     -90.0117
     2988.65     -198.995     -88.1501
     3016.33     -198.824     -86.3442
     3044.27     -198.655     -84.5926
     3072.47     -198.488     -82.8944
     3100.93     -198.326     -81.2466
     3129.65     -198.168     -79.6474
     3158.64     -198.017     -78.0919
     3187.89     -197.872     -76.5775
     3217.42     -197.736     -75.0993
     3247.22     -197.608      -73.652
     3277.29      -197.49     -72.2299
     3307.65     -197.383     -70.8268
